# expressivity.csv — ts=2026-09-02T19:54:06Z; git=9b818f3-dirty; clean=no(103); cpu=Intel(R) Xeon(R) 6975P-C; cores=16; mem=247GiB; os=Linux 6.17.0-1019-aws; jvm=OpenJDK 64-Bit Server VM 21.0.12 (Ubuntu); heap=24.0GiB; scala=3.8.1; sbt=2.0.8; build=scalac 3.8.1 -source:3.3 -feature -explain; tools=z3=Z3 version 5.1.0 - 64 bit  vampire=Vampire 5.1.0 (Release build, commit 7b2f410 on 2026-08-13 10:17:34 +0200)  egglog=egglog 3.0.0_2026-09-02_e5dea2d5; literalByRef=true patriciaOps=true; target=100000; bank=100; seed=12345
uniqueOut,entropy,nEmpty,nSpace,nPath,respSpace,respPath,respFrac,avgSize,nodes
1,0.0000,100,1,1,0,0,0.0000,0.000,16
1,0.0000,100,1,0,0,0,0.0000,0.000,29
96,6.5563,0,3,0,1,0,0.3333,707.450,23
5,1.2426,76,3,2,1,1,0.4000,0.240,37
1,0.0000,100,2,1,0,0,0.0000,0.000,33
2,0.0808,99,1,0,1,0,1.0000,0.010,18
1,0.0000,0,2,0,0,0,0.0000,2.000,46
4,0.2419,97,3,1,0,1,0.2500,0.080,13
1,0.0000,100,3,2,0,0,0.0000,0.000,18
1,0.0000,100,1,2,0,0,0.0000,0.000,35
15,1.8178,71,3,1,0,1,0.2500,0.330,27
1,0.0000,100,2,1,0,0,0.0000,0.000,23
2,0.9580,62,3,0,2,0,0.6667,0.380,23
1,0.0000,100,1,0,0,0,0.0000,0.000,21
1,0.0000,100,1,0,0,0,0.0000,0.000,14
20,1.5086,81,2,1,1,0,0.3333,0.830,27
1,0.0000,100,2,1,0,0,0.0000,0.000,77
1,0.0000,100,1,1,0,0,0.0000,0.000,12
8,2.4414,40,1,1,1,0,0.5000,0.990,24
1,0.0000,100,3,1,0,0,0.0000,0.000,37
1,0.0000,100,1,0,0,0,0.0000,0.000,50
1,0.0000,100,3,2,0,0,0.0000,0.000,13
10,0.7812,90,2,2,1,0,0.2500,0.100,30
1,0.0000,100,1,2,0,0,0.0000,0.000,16
1,0.0000,100,2,1,0,0,0.0000,0.000,26
62,5.5686,6,3,1,1,1,0.5000,1.380,16
1,0.0000,100,3,2,0,0,0.0000,0.000,17
