# corpus_runtimes.csv — ts=2026-09-02T19:54:22Z; git=9b818f3-dirty; clean=no(103); cpu=Intel(R) Xeon(R) 6975P-C; cores=16; mem=247GiB; os=Linux 6.17.0-1019-aws; jvm=OpenJDK 64-Bit Server VM 21.0.12 (Ubuntu); heap=24.0GiB; scala=3.8.1; sbt=2.0.8; build=scalac 3.8.1 -source:3.3 -feature -explain; tools=z3=Z3 version 5.1.0 - 64 bit  vampire=Vampire 5.1.0 (Release build, commit 7b2f410 on 2026-08-13 10:17:34 +0200)  egglog=egglog 3.0.0_2026-09-02_e5dea2d5; literalByRef=true patriciaOps=true; rows=1000; envs-per-program=1000; seed=424242
idx,nodes,nSpace,nPath,uniqueOut,evalI_ms_per1000
294,22,1,0,75,2.535
295,39,1,0,98,10.388
296,19,1,0,98,1.890
297,58,1,0,89,7.224
298,59,1,0,32,18.934
299,18,1,0,3,5.159
300,21,2,0,98,2.497
301,63,2,2,100,13.429
302,20,1,0,2,1.977
303,26,1,0,6,1.823
304,29,1,0,43,4.837
305,27,1,0,98,8.366
306,25,1,0,37,21.246
307,63,2,0,96,15.326
308,32,1,0,16,5.823
309,51,1,0,44,3.376
310,16,1,0,2,1.371
311,26,1,1,10,3.519
312,40,1,1,98,7.245
313,35,2,0,5,4.633
314,22,1,0,6,0.830
315,33,1,0,32,5.674
316,22,1,0,98,1.353
317,36,1,0,53,31.346
318,25,1,0,34,1.032
319,59,1,0,24,14.963
320,15,1,0,89,4.097
321,338,1,0,98,237.850
322,29,1,0,46,18.165
323,33,2,0,92,10.820
324,33,1,1,100,16.166
325,24,1,1,2,3.652
326,42,2,1,17,12.796
327,12,2,0,2,1.212
328,19,2,0,80,2.651
329,20,1,0,84,5.609
330,43,1,1,8,5.502
331,107,1,1,33,13.287
332,19,1,1,69,4.083
333,12,1,0,2,2.450
334,24,1,1,2,4.177
335,20,1,0,5,1.538
336,17,1,0,16,4.273
337,30,1,1,6,4.156
338,17,1,0,2,6.191
339,45,1,0,2,3.282
340,24,1,0,94,2.447
341,54,1,0,41,2.180
342,23,1,1,86,1.994
343,26,1,0,6,0.843
344,19,2,0,16,4.953
345,23,1,0,13,2.342
346,43,1,0,3,1.961
347,15,1,0,2,1.300
348,56,2,0,19,12.901
349,21,1,0,5,1.183
350,28,1,0,2,4.062
351,13,1,1,20,1.213
352,16,1,0,40,2.718
353,17,1,0,3,1.247
354,17,1,0,50,1.333
355,25,1,0,40,2.969
356,17,1,0,94,0.975
357,14,1,0,2,2.134
358,24,2,0,17,2.336
359,54,1,0,2,4.195
360,25,1,0,80,2.676
361,19,1,0,17,1.488
362,18,1,0,85,1.899
363,58,1,0,98,5.441
364,17,1,0,98,4.119
365,12,1,0,12,1.156
366,13,1,0,4,3.600
367,14,1,0,18,1.968
368,21,1,0,43,2.075
369,15,1,0,14,4.714
370,19,1,0,3,5.326
371,21,1,0,22,3.695
372,20,1,0,2,3.966
373,17,1,0,13,0.952
374,16,1,0,31,2.051
375,25,1,0,98,10.042
376,30,2,0,99,4.387
377,34,1,0,5,1.223
378,171,1,0,4,18.205
379,14,1,0,98,1.021
380,24,3,0,98,5.168
381,12,1,0,2,0.578
382,34,1,0,98,6.611
383,26,1,0,33,1.156
384,22,1,0,13,1.892
385,35,2,0,91,2.916
386,12,1,0,9,1.121
387,35,1,0,98,3.275
388,18,1,0,2,1.684
389,41,2,1,20,18.576
390,48,1,0,11,5.133
391,39,2,0,71,3.074
392,29,2,0,66,3.193
393,34,1,1,32,2.350
394,68,1,0,2,6.218
395,18,1,0,71,1.487
396,17,1,0,10,1.128
397,61,1,1,42,24.061
398,17,1,0,91,10.789
399,14,1,0,98,2.027
400,18,1,0,4,3.777
401,56,1,0,29,11.955
402,16,1,0,13,0.948
403,32,1,0,98,1.653
404,27,2,0,73,2.932
405,17,1,1,20,2.816
406,15,1,2,77,1.522
407,20,1,0,48,3.679
408,31,1,0,15,9.560
409,66,1,0,98,4.181
410,64,1,0,46,2.916
411,16,1,0,40,0.723
412,27,1,1,94,2.531
413,64,1,0,11,4.277
414,20,1,0,77,2.677
415,14,1,0,12,1.752
416,30,1,0,2,5.773
417,39,1,1,16,2.383
418,23,1,1,16,1.725
419,29,1,0,8,0.920
420,43,1,0,81,1.802
421,37,2,0,98,10.165
422,32,1,0,2,1.397
423,14,1,0,37,1.084
424,13,2,0,100,3.284
425,19,1,0,34,2.445
426,52,1,2,100,10.821
427,13,2,0,77,1.975
428,15,1,1,2,1.102
429,74,1,0,98,21.459
430,38,2,0,2,12.553
431,31,1,0,2,7.966
432,15,1,0,77,4.369
433,23,1,0,14,7.474
434,12,1,0,97,0.875
435,39,1,0,48,2.605
436,55,1,0,37,1.930
437,23,1,0,56,1.561
438,59,1,0,29,1.947
439,14,1,0,2,2.834
440,23,1,1,81,2.249
441,80,1,1,99,17.552
442,83,1,0,93,9.607
443,60,1,1,98,4.509
444,17,1,0,31,2.686
445,28,1,0,11,6.019
446,38,1,0,2,25.501
447,34,1,0,90,12.912
448,14,1,1,98,3.350
449,12,2,0,95,1.065
450,28,1,0,98,4.243
451,22,1,0,11,12.866
452,35,2,0,100,7.113
453,15,1,0,88,3.375
454,29,1,0,98,6.319
455,44,1,0,27,2.344
456,28,1,0,8,4.566
457,27,2,0,98,5.124
458,40,1,1,77,1.966
459,20,1,0,98,4.484
460,41,1,0,4,4.037
461,25,1,0,39,3.987
462,94,1,1,100,9.356
463,26,1,1,99,3.913
464,39,2,0,38,7.329
465,32,1,1,78,7.958
466,53,1,0,2,9.128
467,35,1,0,12,3.865
468,29,1,0,2,5.555
469,17,1,1,17,1.723
470,24,1,0,2,2.260
471,30,1,0,4,4.798
472,32,1,0,16,2.988
473,20,2,0,8,2.773
474,19,1,0,59,1.595
475,60,1,0,10,1.737
476,57,1,0,19,6.229
477,23,1,0,6,1.293
478,16,1,0,8,2.639
479,132,1,1,2,7.378
480,21,1,0,48,2.520
481,61,1,0,2,5.530
482,13,1,0,2,2.066
483,22,1,0,5,6.421
484,22,1,0,2,2.063
485,21,1,1,63,3.720
486,22,1,0,98,3.209
487,13,1,0,15,1.120
488,20,1,0,37,2.809
489,22,1,2,73,3.259
490,53,1,0,37,6.506
491,29,1,0,2,4.122
492,16,1,0,41,1.422
493,14,1,0,23,4.049
494,16,1,0,2,1.325
495,20,1,0,3,3.647
496,13,1,0,98,1.225
497,32,1,0,5,6.144
498,34,1,0,69,5.719
499,40,1,0,4,6.866
500,23,1,0,81,2.307
501,33,1,0,97,2.190
502,22,1,0,4,9.179
503,23,1,0,62,2.486
504,12,1,0,6,1.829
505,26,1,0,98,2.159
506,24,2,0,7,3.619
507,78,1,0,2,88.591
508,21,1,0,98,1.532
509,33,1,0,98,2.244
510,27,1,0,98,3.479
511,47,1,0,3,4.886
512,13,1,0,98,0.507
513,15,1,0,2,0.744
514,43,1,0,98,7.770
515,12,1,0,18,1.029
516,31,1,0,98,7.658
517,37,1,0,14,2.761
518,30,1,0,98,5.208
519,26,1,0,98,1.526
520,41,1,1,92,2.807
521,35,1,0,29,8.841
522,19,1,0,98,6.306
523,13,1,1,95,0.887
524,13,1,0,40,2.946
525,75,1,0,3,95.375
526,22,1,1,2,6.987
527,15,1,0,2,4.243
528,17,1,0,3,1.173
529,25,2,0,70,3.377
530,42,1,0,98,9.046
531,18,1,0,7,1.057
532,22,1,1,11,1.945
533,18,1,2,67,5.093
534,18,1,0,69,2.860
535,24,1,1,72,6.522
536,20,1,0,60,3.681
537,30,1,0,91,5.069
538,17,1,0,2,1.687
539,44,2,0,97,33.035
540,40,1,0,37,2.424
541,27,1,0,29,9.534
542,27,1,0,98,5.746
543,40,1,0,98,12.909
544,56,1,0,3,5.565
545,21,1,1,93,2.124
546,40,1,2,54,3.911
547,29,1,0,2,1.665
548,15,1,0,13,3.657
549,88,1,0,32,6.855
550,87,1,1,45,40.842
551,51,1,0,2,2.321
552,23,1,0,2,12.048
553,33,1,0,2,4.197
554,36,1,0,95,26.859
555,41,2,0,92,11.484
556,19,1,1,47,5.809
557,18,2,0,75,12.452
558,39,1,0,5,3.124
559,25,1,0,9,3.623
560,17,1,0,15,9.754
561,18,3,0,18,1.759
562,49,1,0,12,18.506
563,31,2,0,74,7.444
564,23,1,0,98,4.566
565,27,1,0,36,5.669
566,13,1,0,39,1.295
567,13,1,0,98,4.412
568,49,2,0,6,15.299
569,22,2,0,16,5.973
570,16,2,0,100,20.077
571,34,2,0,100,39.222
572,18,1,0,30,1.495
573,26,1,1,100,5.010
574,26,1,0,47,4.584
575,17,1,0,12,0.994
576,27,1,1,20,4.915
577,18,1,0,8,2.260
578,17,1,0,97,1.024
579,52,2,0,16,16.523
580,20,1,0,2,2.516
581,21,1,0,63,5.541
582,15,1,0,2,3.097
583,35,1,0,86,7.837
584,60,1,0,89,3.855
585,65,1,0,2,10.734
586,28,2,0,4,1.887
587,25,1,0,35,1.775
588,33,1,2,91,2.180
589,49,1,0,2,8.056
590,18,2,0,100,4.550
591,21,1,0,98,1.282
592,21,1,0,97,2.660
593,29,1,0,4,10.640
594,35,1,1,75,59.704
595,60,1,0,89,14.182
596,20,1,0,98,3.504
597,29,1,0,3,4.122
598,251,2,0,10,9.052
599,17,1,1,6,2.006
600,52,2,0,42,9.121
601,44,1,0,8,21.279
602,25,1,0,2,23.514
603,44,1,0,48,8.696
604,17,1,0,91,3.978
605,33,1,0,98,7.195
606,27,2,1,89,16.827
607,16,1,0,98,3.922
608,35,2,0,60,8.294
609,57,1,0,6,45.683
610,50,1,1,4,9.738
611,19,1,0,3,3.202
612,19,1,0,84,4.027
613,77,2,0,2,9.415
614,20,1,0,2,1.454
615,35,1,0,6,8.397
616,47,1,0,98,36.604
617,14,1,0,15,1.936
618,20,2,0,4,2.070
619,26,1,0,7,7.530
620,78,1,0,66,26.694
621,21,1,0,82,1.493
622,27,2,0,97,6.054
623,34,1,0,5,6.476
624,31,3,0,44,6.023
625,23,1,0,2,4.077
626,19,1,0,9,14.962
627,24,1,0,98,1.099
628,39,1,1,6,10.427
629,40,1,1,97,10.325
630,28,1,0,89,7.123
631,31,1,0,48,4.619
632,14,2,0,83,3.100
633,29,1,0,72,2.985
634,21,1,0,14,8.388
635,21,1,0,98,23.512
636,26,1,0,2,3.384
637,13,1,0,45,1.124
638,56,2,0,29,3.826
639,114,2,0,19,12.567
640,49,1,0,12,8.606
641,51,1,0,20,10.858
642,26,1,0,98,18.309
643,18,1,0,83,7.840
644,16,1,0,11,1.480
645,16,1,0,4,1.641
646,21,1,0,2,5.471
647,21,2,0,7,1.686
648,38,1,0,39,9.833
649,27,1,1,21,5.085
650,35,1,0,77,5.509
651,27,1,0,29,7.826
652,24,2,0,2,5.985
653,16,1,0,33,2.001
654,21,1,0,4,2.939
655,30,2,0,43,1.993
656,53,1,0,37,2.416
657,14,1,0,89,3.058
658,21,1,0,98,1.509
659,18,1,0,28,2.476
660,15,1,0,89,1.237
661,72,1,0,98,8.229
662,12,1,0,28,4.180
663,30,2,0,99,3.527
664,37,1,1,46,2.430
665,32,1,0,21,4.681
666,17,1,0,2,1.631
667,25,1,0,82,3.836
668,26,1,0,98,1.690
669,16,1,0,2,3.906
670,24,1,2,93,5.580
671,63,1,0,15,17.986
672,18,2,0,36,6.208
673,36,1,0,15,6.934
674,15,1,0,40,2.189
675,92,1,0,14,8.895
676,14,1,0,2,1.227
677,14,2,0,28,1.735
678,31,1,0,2,3.137
679,24,2,0,29,2.978
680,14,1,0,2,0.934
681,21,1,0,40,1.239
682,76,1,0,29,12.102
683,67,1,0,13,7.951
684,18,1,1,41,1.666
685,26,1,0,40,7.619
686,17,1,0,13,2.862
687,37,2,0,37,13.110
688,14,1,0,2,12.138
689,40,1,0,98,15.783
690,14,1,0,37,2.774
691,29,1,0,98,2.001
692,22,2,0,98,4.388
693,19,1,1,32,3.491
694,16,2,0,7,2.018
695,39,1,0,35,3.215
696,46,1,0,77,4.588
697,20,1,0,2,1.665
698,19,1,0,2,1.809
699,102,2,0,14,12.918
700,26,1,0,20,4.661
701,39,1,1,95,8.881
702,16,1,0,2,3.616
703,17,1,0,19,2.918
704,32,1,0,98,2.323
705,19,1,0,13,1.791
706,16,1,0,28,1.292
707,39,1,0,8,12.019
708,51,2,0,21,2.904
709,47,1,0,71,21.501
710,21,1,0,5,1.883
711,55,1,0,2,12.433
712,24,1,0,2,79.781
713,13,1,0,2,4.637
714,15,1,0,98,1.216
715,13,1,0,4,8.208
716,40,1,0,94,8.512
717,19,1,0,98,1.673
718,19,1,0,68,8.091
719,29,1,0,94,48.396
720,23,1,0,10,4.676
721,19,1,0,77,6.574
722,41,1,1,36,7.783
723,31,1,0,97,2.093
724,42,1,0,47,6.902
725,36,1,0,14,41.710
726,20,1,0,2,7.248
727,36,1,0,18,28.895
728,13,1,0,2,0.870
729,30,2,0,59,5.437
730,16,2,0,100,4.827
731,21,1,0,98,1.734
732,139,1,0,46,23.590
733,26,1,0,4,5.274
734,22,1,1,96,7.888
735,46,1,0,98,10.484
736,27,1,0,2,5.878
737,27,2,0,40,1.986
738,17,2,0,28,11.154
739,28,1,0,35,5.347
740,13,1,0,14,5.154
741,25,1,1,66,8.523
742,22,1,1,32,2.010
743,22,1,0,92,13.135
744,24,1,0,11,7.595
745,15,1,0,89,2.282
746,15,1,0,4,3.337
747,16,1,0,98,2.968
748,22,1,0,4,1.360
749,15,1,0,18,1.896
750,25,1,0,85,22.589
751,16,1,0,7,1.292
752,19,1,0,98,1.596
753,58,1,0,80,3.469
754,23,1,0,83,5.903
755,55,1,1,18,4.453
756,26,1,0,59,1.449
757,51,1,0,2,1.997
758,50,1,1,20,4.613
759,32,1,0,2,4.532
760,41,1,0,11,3.221
761,23,1,0,44,3.494
762,26,1,0,98,8.039
763,17,1,0,98,0.898
764,17,1,0,2,5.246
765,25,2,0,98,2.336
766,29,1,0,13,4.809
767,42,1,0,6,2.300
768,34,1,1,86,4.138
769,27,2,0,100,4.133
770,18,1,0,36,3.550
771,70,1,1,8,2.706
772,19,1,0,98,1.167
773,26,1,0,98,7.526
774,22,1,0,5,1.725
775,33,1,0,98,3.515
776,22,1,1,6,2.321
777,23,1,0,40,4.309
778,16,1,0,2,3.858
779,14,1,1,29,2.486
780,28,1,0,37,1.059
781,30,1,0,2,1.781
782,27,1,0,7,3.045
783,53,3,0,7,16.407
784,48,3,0,32,11.014
785,15,1,0,4,3.087
786,25,1,1,8,3.723
787,22,1,0,8,2.720
788,22,1,1,55,3.511
789,19,1,0,5,6.210
790,17,2,0,12,1.046
791,20,2,0,24,7.911
792,67,1,1,52,11.002
793,90,1,0,2,10.923
794,21,1,1,6,1.806
795,63,1,0,98,5.691
796,13,1,0,2,2.100
797,17,1,0,2,2.568
798,37,1,0,97,1.715
799,22,1,0,95,2.142
800,13,1,0,2,1.063
801,39,1,0,98,9.184
802,20,1,0,2,2.190
803,24,1,0,93,3.143
804,15,1,0,81,2.385
805,17,1,0,84,2.111
806,27,1,0,38,4.254
807,22,1,0,98,2.714
808,23,1,0,8,2.334
809,16,1,1,12,2.600
810,29,1,0,40,0.769
811,29,2,0,8,3.050
812,49,1,0,41,5.838
813,100,1,0,98,50.869
814,120,2,0,38,15.401
815,47,3,0,32,6.680
816,20,1,0,98,0.810
817,89,3,0,2,7.968
818,16,1,0,12,1.036
819,22,1,0,65,1.510
820,26,1,0,3,20.317
821,20,1,0,8,5.068
822,27,1,0,4,3.542
823,17,1,0,11,0.712
824,22,1,0,2,1.598
825,33,1,0,94,8.113
826,13,1,0,12,2.377
827,37,1,0,23,1.673
828,22,1,0,4,2.312
829,30,1,0,16,10.758
830,41,1,0,97,1.175
831,18,1,0,30,5.053
832,19,2,0,22,4.861
833,15,1,0,27,1.498
834,55,1,1,28,8.348
835,14,1,0,13,1.281
836,14,2,2,100,2.825
837,25,1,0,7,4.849
838,18,1,0,98,1.804
839,33,1,0,29,2.088
840,48,2,0,72,8.300
841,24,1,0,37,2.657
842,31,1,1,91,4.691
843,17,1,0,98,2.213
844,73,1,0,6,11.536
845,15,1,0,8,3.266
846,39,1,0,2,2.221
847,14,2,0,27,1.910
848,64,1,0,96,19.348
849,23,1,0,7,6.581
850,31,1,0,98,5.207
851,45,1,0,15,3.811
852,47,1,1,4,4.790
853,42,1,0,11,3.767
854,62,1,0,87,27.517
855,24,1,0,2,4.832
856,76,2,0,98,21.455
857,13,1,0,2,0.654
858,44,1,0,98,3.978
859,34,2,0,95,2.957
860,43,2,0,99,8.139
861,146,1,0,15,48.711
862,140,2,0,22,30.587
863,13,1,0,98,2.165
864,20,1,1,8,4.040
865,24,1,0,15,10.654
866,19,1,0,2,1.605
867,38,1,0,57,5.852
868,18,1,0,77,21.043
869,21,1,0,67,2.414
870,59,1,1,98,25.252
871,27,1,0,98,2.489
872,39,2,0,98,5.235
873,17,1,0,23,2.324
874,15,1,0,89,2.929
875,62,1,0,84,5.555
876,29,1,0,44,1.572
877,14,1,0,89,1.146
878,35,1,0,89,2.827
879,27,2,0,8,9.252
880,13,1,0,94,1.337
881,18,1,0,9,4.635
882,31,1,0,2,7.567
883,59,1,1,64,9.431
884,20,1,0,42,7.222
885,19,1,0,58,3.215
886,21,1,0,36,1.339
887,18,2,0,54,1.804
888,15,1,0,16,4.469
889,12,1,0,78,2.652
890,27,1,1,80,4.250
891,16,1,1,9,2.959
892,18,1,0,98,0.866
893,17,1,1,9,2.767
894,30,1,0,33,4.156
895,26,1,1,19,2.188
896,105,1,0,4,7.682
897,50,1,0,98,8.594
898,40,1,0,14,6.641
899,24,1,0,98,0.903
900,33,1,1,99,10.218
901,20,1,0,44,5.640
902,57,1,0,48,8.604
903,30,2,1,65,21.171
904,86,1,0,2,15.299
905,16,1,0,47,2.525
906,33,1,0,39,8.373
907,19,1,1,6,1.817
908,24,1,0,16,2.815
909,41,1,0,37,6.473
