rule_id	kind	line	operations	tier	status	artifacts	note	rule
zipper-descend:0030	rule	252	range-first-child-query,range-child-result,EmptyZ,terminal	mixed	proved-bounded	set_range_full_sentinel,eager_range_set_equiv,zipper_range_first_materialization_equiv,set_range_subset_fo,set_range_first_child_terminal_empty_fo,set_range_first_child_selected_sound_fo,set_range_first_child_pruned_fo,range_first_child_border_literal,range_first_without_epsilon_child_literal,range_first_without_epsilon_prunes_later_child_literal,zipper_range_materialization_equiv,set_range_last_child_selected_sound_fo,set_range_last_child_pruned_fo,set_range_drop_last_child_before_last_fo,set_range_drop_last_child_after_last_fo,range_last_child_border_literal,range_drop_last_child_border_literal,zipper_emptyz_empty_focus_fo,zipper_emptyz_nonterminal_fo,zipper_keyset_emptyz_fo,zipper_base_terminal_equiv,zipper_union_terminal_equiv,zipper_intersection_terminal_equiv,zipper_diff_terminal_equiv,set_terminal_product,set_terminal_wrap,set_terminal_unwrap,set_terminal_head_empty,set_terminal_nonempty_paths_empty,set_terminal_prefix_closure_empty,set_terminal_prefix_closure_below,set_terminal_suffix_closure_empty	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((range-first-child-query z src item) (terminal src)) ((range-child-result z (EmptyZ))) :ruleset range_border)
zipper-descend:0031	rule	255	RangeFirstOp,first-head,range-first-child-query,range-child-result,Child	mixed	proved-bounded	set_range_full_sentinel,eager_range_set_equiv,zipper_range_first_materialization_equiv,set_range_subset_fo,set_range_first_terminal_fo,zipper_range_first_terminal_fo,set_range_first_child_terminal_empty_fo,set_range_first_child_selected_sound_fo,set_range_first_child_pruned_fo,range_empty_source_first,range_first_subset,range_first_wrap_a,range_first_wrap_b,range_first_wrap_ab,range_first_idempotent,range_first_of_last,range_drop_last_of_first_empty,range_first_epsilon_literal,range_item_union_first_literal,range_first_child_border_literal,range_prunes_after_upper_border_literal,range_first_without_epsilon_literal,range_first_without_epsilon_child_literal,range_first_without_epsilon_prunes_later_child_literal,zipper_range_materialization_equiv,set_range_last_child_selected_sound_fo,set_range_last_child_pruned_fo,set_range_drop_last_child_before_last_fo,set_range_drop_last_child_after_last_fo,range_last_child_border_literal,range_drop_last_child_border_literal,zipper_base_child_equiv,child_empty_a,child_empty_b,child_epsilon_a,child_epsilon_b,child_singleton_hit_a,child_singleton_hit_b,child_singleton_miss_a_b,child_singleton_miss_b_a,child_concat_hit_a,child_concat_hit_b,child_concat_miss_a_b,child_concat_miss_b_a,child_union_a,child_union_b,set_child_union_fo,child_same_head_union_a,child_same_head_union_b,child_intersection_a,child_intersection_b,child_diff_a,child_diff_b,set_child_product_derivative,set_child_restriction_derivative,set_child_raffination_derivative,set_child_wrap_hit,set_child_unwrap_singleton,set_child_head,set_child_nonempty_paths,set_child_prefix_closure,set_child_prefix_closure_below,set_child_suffix_closure_derivative,set_child_tails_closure_derivative	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((range-first-child-query z src item) (first-head src item)) ((range-child-result z (RangeFirstOp (Child item src)))) :ruleset range_border)
zipper-descend:0032	rule	258	first-head,range-first-child-query,range-child-result,EmptyZ	mixed	proved-bounded	set_range_full_sentinel,eager_range_set_equiv,zipper_range_first_materialization_equiv,set_range_subset_fo,set_range_first_child_terminal_empty_fo,set_range_first_child_selected_sound_fo,set_range_first_child_pruned_fo,range_first_child_border_literal,range_first_without_epsilon_child_literal,range_first_without_epsilon_prunes_later_child_literal,zipper_range_materialization_equiv,set_range_last_child_selected_sound_fo,set_range_last_child_pruned_fo,set_range_drop_last_child_before_last_fo,set_range_drop_last_child_after_last_fo,range_last_child_border_literal,range_drop_last_child_border_literal,zipper_emptyz_empty_focus_fo,zipper_emptyz_nonterminal_fo,zipper_keyset_emptyz_fo	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((range-first-child-query z src item) (first-head src first) (!= item first)) ((range-child-result z (EmptyZ))) :ruleset range_border)
zipper-descend:0033	rule	261	RangeLastOp,last-head,range-last-child-query,range-child-result,Child	mixed	proved-bounded	eager_range_set_equiv,zipper_range_last_materialization_equiv,set_range_subset_fo,set_range_last_child_selected_sound_fo,set_range_last_child_pruned_fo,range_empty_source_last,range_last_subset,range_last_idempotent,range_last_wrap_a,range_last_wrap_b,range_last_wrap_ab,range_first_of_last,range_singleton_last_literal,range_nested_singleton_last_literal,range_item_union_last_literal,range_last_border_literal,range_last_child_border_literal,range_last_prunes_earlier_head_literal,range_negative_window_border_literal,range_negative_window_child_border_literal,range_negative_window_prunes_last_head_literal,zipper_range_materialization_equiv,set_range_first_child_terminal_empty_fo,set_range_first_child_selected_sound_fo,set_range_first_child_pruned_fo,set_range_drop_last_child_before_last_fo,set_range_drop_last_child_after_last_fo,range_first_child_border_literal,range_drop_last_child_border_literal,zipper_base_child_equiv,child_empty_a,child_empty_b,child_epsilon_a,child_epsilon_b,child_singleton_hit_a,child_singleton_hit_b,child_singleton_miss_a_b,child_singleton_miss_b_a,child_concat_hit_a,child_concat_hit_b,child_concat_miss_a_b,child_concat_miss_b_a,child_union_a,child_union_b,set_child_union_fo,child_same_head_union_a,child_same_head_union_b,child_intersection_a,child_intersection_b,child_diff_a,child_diff_b,set_child_product_derivative,set_child_restriction_derivative,set_child_raffination_derivative,set_child_wrap_hit,set_child_unwrap_singleton,set_child_head,set_child_nonempty_paths,set_child_prefix_closure,set_child_prefix_closure_below,set_child_suffix_closure_derivative,set_child_tails_closure_derivative	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((range-last-child-query z src item) (last-head src item)) ((range-child-result z (RangeLastOp (Child item src)))) :ruleset range_border)
zipper-descend:0034	rule	264	last-head,range-last-child-query,range-child-result,EmptyZ	mixed	proved-bounded	eager_range_set_equiv,zipper_range_last_materialization_equiv,set_range_subset_fo,set_range_last_child_selected_sound_fo,set_range_last_child_pruned_fo,range_last_border_literal,range_last_child_border_literal,range_last_prunes_earlier_head_literal,zipper_range_materialization_equiv,set_range_first_child_terminal_empty_fo,set_range_first_child_selected_sound_fo,set_range_first_child_pruned_fo,set_range_drop_last_child_before_last_fo,set_range_drop_last_child_after_last_fo,range_first_child_border_literal,range_drop_last_child_border_literal,zipper_emptyz_empty_focus_fo,zipper_emptyz_nonterminal_fo,zipper_keyset_emptyz_fo	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((range-last-child-query z src item) (last-head src last) (!= item last)) ((range-child-result z (EmptyZ))) :ruleset range_border)
zipper-descend:0035	rule	267	RangeDropLastOp,last-head,range-drop-last-child-query,range-child-result,Child	mixed	proved-bounded	eager_range_set_equiv,zipper_range_drop_last_materialization_equiv,set_range_subset_fo,set_range_drop_last_child_before_last_fo,set_range_drop_last_child_after_last_fo,range_empty_source_drop_last,range_drop_last_subset,range_drop_last_wrap_a,range_drop_last_wrap_b,range_drop_last_wrap_ab,range_drop_last_of_first_empty,range_singleton_drop_last_literal,range_item_union_drop_last_literal,range_drop_last_full_sentinel_literal,range_drop_last_border_literal,range_drop_last_child_border_literal,range_drop_last_prunes_last_head_literal,zipper_range_materialization_equiv,set_range_first_child_terminal_empty_fo,set_range_first_child_selected_sound_fo,set_range_first_child_pruned_fo,set_range_last_child_selected_sound_fo,set_range_last_child_pruned_fo,range_first_child_border_literal,range_last_child_border_literal,zipper_base_child_equiv,child_empty_a,child_empty_b,child_epsilon_a,child_epsilon_b,child_singleton_hit_a,child_singleton_hit_b,child_singleton_miss_a_b,child_singleton_miss_b_a,child_concat_hit_a,child_concat_hit_b,child_concat_miss_a_b,child_concat_miss_b_a,child_union_a,child_union_b,set_child_union_fo,child_same_head_union_a,child_same_head_union_b,child_intersection_a,child_intersection_b,child_diff_a,child_diff_b,set_child_product_derivative,set_child_restriction_derivative,set_child_raffination_derivative,set_child_wrap_hit,set_child_unwrap_singleton,set_child_head,set_child_nonempty_paths,set_child_prefix_closure,set_child_prefix_closure_below,set_child_suffix_closure_derivative,set_child_tails_closure_derivative	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((range-drop-last-child-query z src item) (last-head src item)) ((range-child-result z (RangeDropLastOp (Child item src)))) :ruleset range_border)
zipper-descend:0036	rule	270	last-head,range-drop-last-child-query,range-child-result,Child,ordered-before	mixed	proved-bounded	eager_range_set_equiv,zipper_range_drop_last_materialization_equiv,set_range_subset_fo,set_range_drop_last_child_before_last_fo,set_range_drop_last_child_after_last_fo,range_drop_last_border_literal,range_drop_last_child_border_literal,range_drop_last_prunes_last_head_literal,zipper_range_materialization_equiv,set_range_first_child_terminal_empty_fo,set_range_first_child_selected_sound_fo,set_range_first_child_pruned_fo,set_range_last_child_selected_sound_fo,set_range_last_child_pruned_fo,range_first_child_border_literal,range_last_child_border_literal,zipper_base_child_equiv,child_empty_a,child_empty_b,child_epsilon_a,child_epsilon_b,child_singleton_hit_a,child_singleton_hit_b,child_singleton_miss_a_b,child_singleton_miss_b_a,child_concat_hit_a,child_concat_hit_b,child_concat_miss_a_b,child_concat_miss_b_a,child_union_a,child_union_b,set_child_union_fo,child_same_head_union_a,child_same_head_union_b,child_intersection_a,child_intersection_b,child_diff_a,child_diff_b,set_child_product_derivative,set_child_restriction_derivative,set_child_raffination_derivative,set_child_wrap_hit,set_child_unwrap_singleton,set_child_head,set_child_nonempty_paths,set_child_prefix_closure,set_child_prefix_closure_below,set_child_suffix_closure_derivative,set_child_tails_closure_derivative	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((range-drop-last-child-query z src item) (last-head src last) (ordered-before item last)) ((range-child-result z (Child item src))) :ruleset range_border)
zipper-descend:0037	rule	273	last-head,range-drop-last-child-query,range-child-result,EmptyZ,ordered-before	mixed	proved-bounded	eager_range_set_equiv,zipper_range_drop_last_materialization_equiv,set_range_subset_fo,set_range_drop_last_child_before_last_fo,set_range_drop_last_child_after_last_fo,range_drop_last_border_literal,range_drop_last_child_border_literal,range_drop_last_prunes_last_head_literal,zipper_range_materialization_equiv,set_range_first_child_terminal_empty_fo,set_range_first_child_selected_sound_fo,set_range_first_child_pruned_fo,set_range_last_child_selected_sound_fo,set_range_last_child_pruned_fo,range_first_child_border_literal,range_last_child_border_literal,zipper_emptyz_empty_focus_fo,zipper_emptyz_nonterminal_fo,zipper_keyset_emptyz_fo	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((range-drop-last-child-query z src item) (last-head src last) (ordered-before last item)) ((range-child-result z (EmptyZ))) :ruleset range_border)
zipper-descend:0038	rule	276	RangeFirstOp,tail-frontier,range-first-child-query,range-child-result	mixed	proved-bounded	set_range_full_sentinel,eager_range_set_equiv,zipper_range_first_materialization_equiv,set_range_subset_fo,set_range_first_terminal_fo,zipper_range_first_terminal_fo,set_range_first_child_terminal_empty_fo,set_range_first_child_selected_sound_fo,set_range_first_child_pruned_fo,range_empty_source_first,range_first_subset,range_first_wrap_a,range_first_wrap_b,range_first_wrap_ab,range_first_idempotent,range_first_of_last,range_drop_last_of_first_empty,range_first_epsilon_literal,range_item_union_first_literal,range_first_child_border_literal,range_prunes_after_upper_border_literal,range_first_without_epsilon_literal,range_first_without_epsilon_child_literal,range_first_without_epsilon_prunes_later_child_literal,frontier_tail_nonempty_has_key_fo,frontier_candidate_tail_frontier_fo,set_child_union_fo,child_same_head_union_a,child_same_head_union_b,child_union_a,child_union_b,child_intersection_a,child_intersection_b,child_diff_a,child_diff_b,child_restriction_a,child_restriction_b,child_product_a,child_product_b,suffix_closure_child_derivative_a,suffix_closure_child_derivative_b,zipper_range_materialization_equiv,set_range_last_child_selected_sound_fo,set_range_last_child_pruned_fo,set_range_drop_last_child_before_last_fo,set_range_drop_last_child_after_last_fo,range_last_child_border_literal,range_drop_last_child_border_literal	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((range-first-child-query z src item) (range-child-result z result)) ((tail-frontier (RangeFirstOp src) item result)) :ruleset range_border)
zipper-descend:0039	rule	279	RangeLastOp,tail-frontier,range-last-child-query,range-child-result	mixed	proved-bounded	eager_range_set_equiv,zipper_range_last_materialization_equiv,set_range_subset_fo,set_range_last_child_selected_sound_fo,set_range_last_child_pruned_fo,range_empty_source_last,range_last_subset,range_last_idempotent,range_last_wrap_a,range_last_wrap_b,range_last_wrap_ab,range_first_of_last,range_singleton_last_literal,range_nested_singleton_last_literal,range_item_union_last_literal,range_last_border_literal,range_last_child_border_literal,range_last_prunes_earlier_head_literal,range_negative_window_border_literal,range_negative_window_child_border_literal,range_negative_window_prunes_last_head_literal,frontier_tail_nonempty_has_key_fo,frontier_candidate_tail_frontier_fo,set_child_union_fo,child_same_head_union_a,child_same_head_union_b,child_union_a,child_union_b,child_intersection_a,child_intersection_b,child_diff_a,child_diff_b,child_restriction_a,child_restriction_b,child_product_a,child_product_b,suffix_closure_child_derivative_a,suffix_closure_child_derivative_b,zipper_range_materialization_equiv,set_range_first_child_terminal_empty_fo,set_range_first_child_selected_sound_fo,set_range_first_child_pruned_fo,set_range_drop_last_child_before_last_fo,set_range_drop_last_child_after_last_fo,range_first_child_border_literal,range_drop_last_child_border_literal	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((range-last-child-query z src item) (range-child-result z result)) ((tail-frontier (RangeLastOp src) item result)) :ruleset range_border)
